data,hora,taxa
2023/08/01,08:21:45,13.50354214234757
2023/08/01,08:21:47,13.920668403158391
2023/08/01,08:21:49,13.491460966036826
2023/08/01,08:21:51,13.56118829800329
2023/08/01,08:21:54,13.375336788089092
2023/08/01,08:21:56,14.0676881351077
2023/08/01,08:21:58,13.26305368310635
2023/08/01,08:22:00,13.849630231918393
2023/08/01,08:22:03,13.744758333651495
2023/08/01,08:22:04,13.684710821259117
2023/08/01,08:23:17,13.410203728013085
2023/08/01,08:23:19,13.167625506211767
2023/08/01,08:23:21,13.812965341770896
2023/08/01,08:23:24,14.110512173639798
2023/08/01,08:23:26,13.781398403782719
2023/08/01,08:23:28,13.443477063598907
2023/08/01,08:23:30,13.803088224770018
2023/08/01,08:23:33,13.959628984946667
2023/08/01,08:23:35,13.44004149716097
2023/08/01,08:23:37,13.378479719115518
